scriptures,numbers
"Bible, Exodus 23, Ex. 18, Numbers 35, Judges, Judg. 8, Judg. 20, Judg. 4, Judg. 17, Judg. 18, Judg. 3, Judg. 12, Judg. 10, Judg. 2, 1 Samuel 8, 2 Samuel 21, 2 Kings 13, Neh, Psalms 23, Psalms 72, Isaiah 40, Jer. 31, Ezekiel 34, Ezek, 2 Ne. 6, Jacob 1, Jacob 7, Jarom 1, Omni 1, Mosiah 2, Mosiah 7, Mosiah 23, Mosiah 25, Mosiah 26, Mosiah 27, Mosiah 1, Mosiah 29, Mosiah 22, Mosiah 6, Mosiah 24, Alma 1, Alma 11, Alma 30, Alma 2, Alma 50, Alma 43, Alma 62, Alma 4, Alma 51, Alma 27, Alma 21, Alma 17, Alma 8, Alma 14, Alma 9, Alma 46, Helaman, Helaman 1, Helaman 2, Helaman 3, 3 Ne. 1, 3 Ne. 6, 4 Nephi, 4 Nep, Book of Mormon, Mormon 8, Ether 10, Ether 11, Matt. 9, Heb., D&C 101, D&C 134",187
"1 Ne. 22, 1 Ne. 1, Jacob 7, Mosiah 1, Alma 19, Alma 18, Alma 17, Alma 30, Alma 33, Alma 54, Alma 44, Helaman, Helaman 8, Helaman 9, Helaman 10, Book of Mormon, Moroni 10, Matt. 16, Matt. 15, D&C 93",188
"Bible, Genesis, Genesis 1, Genesis 2, Genesis 6, Genesis 7, 2 Samuel 22, Job 33, Job 27, Job 32, Job 34, Psalms 104, Ps. 104, Ecclesiastes 12, Isaiah 42, Ezekiel 37, Ezekiel, Ezek, Nahum, 2 Ne. 9, Mosiah 2, Alma 40, Alma 11, Book of Mormon, New Testament, Acts 17, Heb., Revelation 11, Doctrine and Covenants, D&C 88, D&C 29, Moses 3, Moses 4, Abraham 5, Abraham 3, Joseph Smith Translation, JST",189
"Bible, Isaiah 24, Alma 40, Book of Mormon, John 1, 1 Corinthians 3, 1 Peter 3, 2 John, Rev. 20, Rev. 1, D&C 19, D&C 137, D&C 114",190
"Bible, Ruth 1, Ruth 4, Romans",191
"No scriptures",192
"No scriptures",193
"Alma 14, 3 Ne. 8, Book of Mormon",194
"Bible, Book of Mormon",195
"Book of Mormon",196
"No scriptures",197
"No scriptures",198
"No scriptures",199
"Bible, Genesis, Exodus 15, Deuteronomy 31, Judg. 13, 1 Samuel 1, 1 Samuel 2, 1 Samuel 3, 2 Samuel 22, Song, Luke 1",200
"No scriptures",201
"No scriptures",202
"Bible, Genesis 1, Genesis, Genesis 2, Genesis 18, Genesis 19, Genesis 22, Exodus 2, Ex. 40, Ex. 25, Ex. 26, Ex. 30, Ex. 28, Ex. 24, Leviticus 16, Leviticus 24, Leviticus 10, Numbers 18, Numbers 25, Numbers 6, Deuteronomy, Deuteronomy 4, 1 Chr. 29, Job 38, Job 29, Psalms 104, Psalms 110, Psalms, Ps. 82, Ps. 104, Ps. 2, Ps. 68, Ps. 110, Ps. 36, Ps. 46, Isaiah 53, Isaiah 52, Isaiah 6, Isaiah 11, Isaiah 37, Isaiah 7, Isaiah 9, Isaiah 42, Isaiah 49, Ezekiel, Ezek, Ezekiel 1, Ezekiel 4, Daniel 9, Daniel 7, Daniel 1, Hosea, Joel 3, Zechariah, Zechariah 14, Malachi, Malachi 2, Malachi 1, New Testament, Matt. 18, Mark 12, Luke 1, Luke 3, John 17, John 10, John 12, John 1, John 13, John 3, Acts 2, Rom. 1, Rom. 8, Gal. 3, Eph. 1, Eph. 5, Philippians 2, Philip. 2, Col. 1, Hebrews, Heb. 4, Heb. 1, Heb. 9, Heb. 11, Heb. 7, 1 John 3, Revelation, Revelation 6, Rev. 1, Rev. 5, Rev. 22, Rev. 11, Ten Commandments",203
"Bible, Genesis 1, Exodus 23, Psalms, Psalms 82, Ps. 82, Ezekiel, Ezek, Luke 3, John 17, John 3, John 10, Rom. 8, 1 Pet. 2, 2 Peter 1, 2 Pet. 1, 1 Jn. 3, Revelation, Revelation 2, Revelation 3",204
"Bible, Genesis 22, Numbers 6, Ezekiel, Ezek, 3 Nephi, 3 Ne. 19, Book of Mormon, John 5, John 17, Rev. 22, D&C 137, Moses 7, Moses 1",205
"Bible, New Testament, John 17, Acts 17, Doctrine and Covenants, D&C 1",206
"No scriptures",207
"2 Nephi 27, 2 Nephi 3, Book of Mormon, New Testament, Doctrine and Covenants 10, Doctrine and Covenants 137, Doctrine and Covenants 76, Doctrine and Covenants, Doctrine and Covenants 90, D&C 90, D&C 110, D&C 10, D&C 100",208
"No scriptures",209
"No scriptures",210
"Esther 4, Jacob 6",211
"Matt. 22, D&C 97",212
"No scriptures",213
"Bible, Book of Mormon, New Testament",214
"Bible, Book of Mormon, Doctrine and Covenants",215
"No scriptures",216
"1 Ne. 1, Book of Mormon, Romans, Doctrine and Covenants 84, D&C 84",217
"Bible, Genesis, Genesis 9, 3 Ne. 27, John 12, D&C 18, D&C 19, D&C 132, D&C 124, Moses 6, Moses 7, Abraham 1",218
"Genesis, Book of Mormon",219
"No scriptures",220
"Ezekiel, Ezek",221
"No scriptures",222
"Book of Mormon, New Testament, Matt. 16, John 17, 1 Peter 3",223
"Matt. 25",224
